src,dst
0,5000
1,5001
2,5002
3,5003
4,5004
5,5005
6,5001
7,5006
8,5007
9,5008
10,5009
11,5010
12,5011
13,5012
14,5013
15,5014
16,5015
17,5016
18,5017
19,5018
20,5019
21,5020
17,5021
22,5022
23,5023
24,5024
25,5025
26,5026
27,5027
28,5028
29,5029
30,5030
31,5031
32,5032
33,5033
34,5027
35,5034
36,5035
37,5036
38,5037
39,5038
40,5039
41,5040
42,5041
43,5042
44,5043
45,5044
46,5045
47,5046
48,5047
49,5048
50,5049
51,5019
52,5050
53,5051
54,5052
55,5053
56,5054
57,5055
58,5056
59,5057
60,5058
61,5059
62,5060
63,5032
64,5061
65,5062
66,5063
67,5064
68,5065
69,5066
70,5067
71,5068
72,5069
73,5070
74,5071
75,5046
76,5072
77,5003
78,5073
79,5074
80,5075
81,5076
82,5072
83,5077
84,5078
85,5079
86,5080
87,5010
88,5081
89,5082
90,5083
91,5084
92,5085
93,5086
94,5087
95,5088
96,5089
97,5090
98,5091
99,5007
100,5092
101,5093
102,5079
103,5094
104,5095
105,5084
106,5096
107,5097
108,5098
109,5099
110,5100
111,5014
112,5101
113,5010
114,5102
115,5103
116,5104
117,5105
118,5057
119,5106
120,5107
121,5108
122,5109
123,5075
124,5110
125,5111
126,5112
127,5113
128,5114
129,5115
130,5116
131,5117
42,5118
132,5024
133,5119
134,5120
135,5121
136,5122
137,5123
138,5124
139,5125
140,5126
141,5127
142,5128
95,5129
143,5130
144,5131
145,5029
146,5132
147,5041
148,5133
149,5134
150,5135
151,5136
152,5137
153,5138
154,5139
155,5070
156,5098
157,5140
158,5083
159,5141
160,5142
161,5143
162,5144
163,5145
164,5146
165,5121
166,5147
167,5148
168,5149
169,5150
170,5151
171,5152
172,5153
173,5154
174,5155
175,5156
176,5157
177,5124
178,5158
47,5159
179,5160
180,5002
181,5161
182,5000
183,5162
184,5163
185,5164
186,5060
187,5165
188,5153
189,5166
190,5089
191,5095
192,5167
193,5168
194,5169
195,5078
196,5170
197,5171
198,5172
199,5052
120,5042
200,5173
201,5174
202,5169
203,5175
204,5176
205,5177
206,5024
207,5178
208,5179
209,5180
210,5181
211,5182
212,5050
213,5183
214,5184
215,5067
216,5185
217,5186
218,5062
219,5187
220,5188
221,5189
222,5190
223,5191
224,5192
63,5171
225,5193
226,5036
227,5194
228,5195
229,5184
230,5196
231,5197
232,5198
233,5199
234,5177
235,5200
236,5108
237,5201
238,5003
239,5202
240,5203
241,5204
242,5205
243,5169
244,5078
245,5206
246,5207
247,5183
248,5208
249,5209
250,5023
251,5151
252,5210
253,5211
254,5011
255,5212
256,5189
257,5213
258,5199
259,5214
260,5100
261,5017
262,5188
263,5215
264,5031
265,5216
266,5217
267,5218
268,5219
269,5220
270,5221
271,5214
272,5222
273,5171
43,5223
274,5068
275,5224
276,5023
277,5088
278,5225
279,5004
280,5226
281,5077
282,5028
283,5227
284,5228
285,5229
286,5120
113,5069
287,5227
288,5061
289,5018
290,5026
291,5230
292,5001
293,5189
294,5117
295,5110
296,5231
297,5232
298,5147
299,5186
300,5233
301,5234
302,5009
303,5190
304,5235
305,5210
306,5236
307,5173
308,5237
309,5238
310,5239
273,5040
311,5153
312,5125
313,5006
314,5087
315,5240
316,5241
317,5018
318,5172
319,5242
320,5243
321,5130
322,5244
323,5245
324,5246
325,5009
326,5247
327,5116
328,5004
329,5248
330,5087
331,5067
256,5053
165,5089
332,5249
333,5250
334,5251
335,5252
336,5253
337,5178
338,5254
339,5002
340,5014
341,5025
342,5255
343,5256
84,5092
200,5257
344,5258
345,5259
346,5113
347,5260
348,5261
349,5208
350,5262
351,5201
352,5240
353,5263
354,5238
355,5241
356,5227
357,5036
358,5176
359,5246
360,5005
361,5264
362,5265
363,5115
364,5057
365,5054
366,5256
367,5168
368,5207
369,5232
370,5266
371,5267
372,5061
373,5268
374,5101
375,5115
376,5164
377,5103
378,5269
76,5270
379,5052
380,5161
381,5271
382,5038
383,5003
384,5228
239,5185
385,5272
386,5009
387,5273
388,5274
389,5275
390,5276
391,5142
392,5044
393,5277
394,5278
395,5172
396,5217
397,5240
398,5279
399,5280
400,5281
401,5054
402,5060
403,5282
404,5247
405,5268
406,5283
407,5120
408,5284
409,5285
410,5114
411,5108
85,5286
412,5122
413,5108
414,5075
415,5287
416,5215
417,5288
418,5017
419,5289
420,5104
421,5290
422,5291
423,5256
424,5113
425,5234
426,5185
427,5292
428,5090
429,5293
430,5294
431,5103
432,5026
433,5295
434,5296
435,5114
436,5297
437,5129
438,5298
439,5299
440,5300
441,5168
442,5029
443,5301
444,5302
445,5271
446,5151
447,5286
448,5303
449,5141
450,5290
451,5304
452,5305
190,5082
453,5194
274,5056
454,5306
455,5181
456,5156
457,5088
177,5110
458,5116
459,5161
460,5307
461,5180
462,5160
248,5308
463,5246
464,5309
465,5140
466,5310
467,5310
468,5221
469,5109
470,5099
471,5311
472,5002
473,5309
474,5281
475,5062
476,5312
477,5302
478,5313
479,5209
480,5314
481,5023
482,5005
483,5175
433,5030
484,5315
485,5012
486,5091
487,5168
488,5234
489,5217
22,5113
490,5239
491,5316
492,5163
493,5317
494,5209
495,5318
496,5208
497,5205
498,5319
499,5320
500,5269
501,5321
502,5322
503,5166
504,5231
505,5006
506,5323
507,5049
508,5058
460,5324
509,5161
510,5053
511,5325
512,5326
513,5076
514,5294
515,5194
55,5327
516,5202
517,5328
518,5261
519,5057
520,5222
521,5329
522,5194
523,5002
524,5330
525,5028
526,5323
527,5202
528,5256
529,5073
530,5024
531,5194
532,5182
533,5204
534,5331
535,5294
272,5095
68,5332
536,5092
537,5069
538,5105
539,5333
540,5334
541,5117
542,5335
543,5336
544,5337
545,5136
301,5338
546,5339
547,5035
548,5075
549,5115
550,5340
551,5341
552,5058
273,5342
553,5341
554,5215
555,5295
556,5238
557,5343
558,5344
559,5345
86,5210
294,5346
560,5347
446,5139
561,5111
562,5348
563,5346
564,5021
565,5222
566,5302
567,5349
185,5249
568,5350
569,5351
570,5115
571,5028
21,5079
572,5352
573,5353
574,5354
575,5355
576,5356
577,5278
81,5226
578,5190
579,5023
580,5357
581,5358
582,5359
583,5360
584,5361
585,5362
586,5350
587,5363
588,5050
589,5336
590,5241
374,5308
591,5364
592,5298
593,5232
594,5162
595,5344
596,5117
597,5365
579,5221
598,5301
599,5357
600,5235
601,5003
602,5366
603,5069
604,5169
605,5217
606,5367
607,5003
608,5368
609,5324
556,5150
610,5050
611,5369
612,5130
34,5116
613,5370
614,5235
615,5371
616,5234
617,5061
618,5085
619,5137
620,5213
621,5372
622,5156
623,5147
624,5322
625,5283
626,5237
627,5050
628,5183
629,5373
163,5374
313,5375
536,5376
630,5377
631,5135
632,5087
633,5249
634,5350
635,5296
636,5122
637,5378
638,5311
639,5379
640,5071
641,5163
642,5006
643,5298
644,5233
645,5127
646,5377
647,5380
648,5381
649,5382
650,5072
651,5292
652,5010
653,5383
654,5002
655,5283
656,5156
657,5004
658,5384
659,5048
660,5042
661,5057
662,5315
663,5385
664,5386
665,5054
666,5298
667,5064
344,5328
294,5143
668,5387
669,5388
670,5292
671,5389
672,5390
673,5206
605,5378
674,5387
675,5239
676,5361
677,5309
678,5124
679,5391
680,5238
681,5316
682,5210
683,5070
684,5392
685,5393
606,5226
686,5159
632,5394
687,5319
166,5339
688,5220
689,5115
690,5395
691,5103
560,5078
692,5340
693,5396
694,5116
695,5023
696,5083
659,5190
697,5036
698,5363
183,5397
699,5398
700,5172
288,5348
701,5011
702,5121
703,5194
704,5399
705,5272
44,5338
706,5215
707,5272
708,5288
705,5254
709,5133
710,5400
711,5222
712,5309
313,5283
713,5309
138,5218
714,5396
715,5119
716,5014
34,5388
717,5086
718,5195
638,5104
719,5126
720,5360
721,5245
722,5037
723,5057
724,5093
287,5401
134,5029
725,5375
726,5057
727,5133
728,5068
729,5129
730,5049
731,5384
732,5176
284,5326
733,5060
734,5402
520,5403
735,5404
736,5333
737,5116
738,5170
739,5148
232,5274
740,5120
741,5238
742,5263
453,5081
743,5009
744,5343
745,5258
746,5281
747,5405
520,5250
728,5388
748,5271
749,5179
750,5117
751,5315
752,5210
753,5082
754,5231
755,5362
756,5108
757,5406
758,5355
759,5391
760,5385
761,5207
762,5171
763,5293
764,5279
765,5291
766,5096
767,5026
768,5076
769,5076
770,5317
771,5206
772,5407
773,5084
774,5408
533,5192
775,5237
776,5409
777,5234
778,5114
779,5107
780,5264
781,5409
782,5176
783,5221
784,5023
785,5410
786,5411
363,5030
787,5093
788,5019
789,5326
666,5343
790,5135
791,5173
792,5224
793,5412
794,5230
795,5036
796,5131
338,5306
797,5175
798,5256
799,5248
427,5352
772,5182
800,5040
801,5413
802,5372
803,5139
804,5260
648,5414
805,5357
806,5178
807,5165
808,5308
809,5407
775,5267
810,5415
494,5401
478,5326
811,5389
812,5179
813,5302
814,5280
815,5003
816,5289
817,5308
818,5363
819,5213
820,5272
821,5380
822,5171
823,5259
824,5214
825,5226
826,5309
351,5170
827,5252
828,5122
829,5416
830,5214
831,5091
832,5417
833,5340
834,5044
835,5163
836,5299
837,5277
838,5418
839,5419
84,5282
840,5068
841,5420
842,5378
843,5024
844,5366
845,5421
846,5422
847,5362
848,5423
849,5012
850,5172
851,5424
852,5425
853,5338
854,5118
855,5242
856,5158
857,5166
858,5383
859,5005
860,5426
861,5427
862,5241
863,5087
864,5044
865,5151
866,5274
867,5198
102,5123
868,5221
869,5368
870,5173
556,5163
664,5228
378,5427
871,5100
872,5018
873,5026
874,5042
875,5031
876,5310
499,5428
877,5178
878,5404
401,5134
879,5378
880,5394
881,5276
882,5330
883,5246
884,5354
885,5382
886,5198
887,5429
542,5341
888,5335
889,5420
780,5080
890,5135
92,5390
891,5292
892,5430
662,5086
893,5431
894,5205
895,5181
272,5068
896,5432
897,5162
898,5276
899,5310
366,5119
735,5176
900,5055
340,5429
901,5077
902,5142
903,5408
904,5250
905,5126
906,5015
870,5277
39,5045
907,5296
908,5433
909,5166
910,5212
911,5073
912,5296
486,5434
913,5061
914,5202
915,5435
916,5052
917,5026
918,5210
919,5326
920,5166
921,5041
922,5053
923,5436
924,5107
925,5064
926,5356
927,5385
928,5428
929,5368
930,5241
931,5432
932,5147
933,5139
934,5312
935,5292
936,5159
405,5298
937,5330
938,5131
939,5202
940,5368
941,5171
