threshold,precision,recall,f1,accuracy,expected_value,expected_value_norm
0.0,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.01,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.02,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.03,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.04,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.05,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.06,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.07,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.08,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.09,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.1,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.11,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.12,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.13,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.14,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.15,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.16,0.0156,1.0,0.03072075620322962,0.0156,-90640.0,0.0
0.17,0.015610927649354548,1.0,0.030741945019213717,0.0163,-90570.0,0.0
0.18,0.015640665730900342,1.0,0.030799605133267523,0.0182,-90380.0,0.0
0.19,0.015607693082267646,0.9935897435897436,0.03073262615247348,0.0223,-90510.0,0.0
0.2,0.015732846122614698,0.9935897435897436,0.030975219824140688,0.0302,-89720.0,0.0
0.21,0.015957994440440645,0.9935897435897436,0.031411490525889145,0.0441,-88330.0,0.0
0.22,0.015971419564988966,0.9743589743589743,0.031427685309624726,0.0631,-88050.0,0.0
0.23,0.015426398696360673,0.9102564102564102,0.03033863903429121,0.0923,-90530.0,0.0
0.24,0.015235300756122333,0.8653846153846154,0.02994344016857048,0.1253,-91010.0,0.0
0.25,0.014849187935034803,0.8205128205128205,0.02917046490428441,0.148,-92520.0,0.0
0.26,0.01485323588353177,0.8076923076923077,0.02917004282903114,0.1613,-92270.0,0.0
0.27,0.014870330716155128,0.8012820512820513,0.02919878533053025,0.1688,-92060.0,0.0
0.28,0.014664889104350988,0.7756410256410257,0.028785535862971334,0.1835,-92750.0,0.0
0.29,0.01502359076235411,0.7756410256410257,0.029476248477466504,0.2032,-90780.0,0.0
0.3,0.015107274343023993,0.7628205128205128,0.029627785385285696,0.2205,-90130.0,0.0
0.31,0.015372382719321495,0.7435897435897436,0.03012204622176058,0.253,-88500.0,0.0
0.32,0.015549901046084252,0.7051282051282052,0.030428769017980636,0.299,-87140.0,0.0
0.33,0.015203974108083697,0.6474358974358975,0.029710251507574642,0.3403,-87870.0,0.0
0.34,0.015968379446640316,0.6474358974358975,0.031168029625057863,0.3721,-84690.0,0.0
0.35000000000000003,0.01632191338073691,0.6474358974358975,0.03184110970996217,0.3858,-83320.0,0.0
0.36,0.0163826998689384,0.6410256410256411,0.03194888178913738,0.394,-83040.0,0.0
0.37,0.016420911528150135,0.6282051282051282,0.03200522534291313,0.4072,-82800.0,0.0
0.38,0.01689655172413793,0.6282051282051282,0.03290799194089993,0.424,-81120.0,0.0
0.39,0.017057569296375266,0.6153846153846154,0.03319502074688797,0.4408,-80520.0,0.0
0.4,0.017507915813000558,0.6025641025641025,0.03402714932126697,0.4663,-79050.0,0.0
0.41000000000000003,0.017914012738853503,0.5769230769230769,0.03474903474903475,0.5,-77840.0,0.0
0.42,0.018018018018018018,0.5256410256410257,0.034841725090291056,0.5457,-77590.0,0.0
0.43,0.01793829227457546,0.4807692307692308,0.03458611943739912,0.5813,-77810.0,0.0
0.44,0.01839080459770115,0.46153846153846156,0.03537214443625645,0.6073,-76830.0,0.0
0.45,0.0173287123433751,0.4166666666666667,0.033273611466598414,0.6223,-79110.0,0.0
0.46,0.017745017745017744,0.4166666666666667,0.03404032469232784,0.6311,-78230.0,0.0
0.47000000000000003,0.01786711334450028,0.41025641025641024,0.03424291064740503,0.639,-77980.0,0.0
0.48,0.018061926605504586,0.40384615384615385,0.03457738748627882,0.6482,-77600.0,0.0
0.49,0.018381262970649275,0.3974358974358974,0.035137432700481724,0.6595,-77010.0,0.0
0.5,0.019110275689223057,0.391025641025641,0.03643966547192354,0.6774,-75760.0,0.0
0.51,0.020122783083219645,0.3782051282051282,0.03821243523316062,0.703,-74280.0,0.0
0.52,0.020338983050847456,0.34615384615384615,0.0384204909284952,0.7297,-74310.0,0.0
0.53,0.021541010770505385,0.3333333333333333,0.04046692607003891,0.7534,-73020.0,0.0
0.54,0.022788203753351208,0.3269230769230769,0.042606516290726815,0.7708,-71820.0,0.0
0.55,0.023244781783681213,0.3141025641025641,0.04328621908127209,0.7834,-71640.0,0.0
0.56,0.023164120256283883,0.30128205128205127,0.043020594965675056,0.7909,-71970.0,0.0
0.5700000000000001,0.023457419683834777,0.2948717948717949,0.04345772319319792,0.7975,-71850.0,0.0
0.58,0.02388535031847134,0.28846153846153844,0.04411764705882353,0.805,-71640.0,0.0
0.59,0.02437673130193906,0.28205128205128205,0.04487506374298827,0.8127,-71410.0,0.0
0.6,0.024956471271038887,0.27564102564102566,0.045769026077700906,0.8207,-71150.0,0.0
0.61,0.025909932140653916,0.2692307692307692,0.04727068092290377,0.8307,-70690.0,0.0
0.62,0.02724252491694352,0.26282051282051283,0.049367850692354005,0.8421,-70090.0,0.0
0.63,0.027298850574712645,0.24358974358974358,0.04909560723514212,0.8528,-70640.0,0.0
0.64,0.028527370855821126,0.23717948717948717,0.05092911218169305,0.8621,-70250.0,0.0
0.65,0.02922077922077922,0.23076923076923078,0.05187319884726225,0.8684,-70160.0,0.0
0.66,0.028181041844577284,0.21153846153846154,0.04973624717407687,0.8739,-71230.0,0.0
0.67,0.02882882882882883,0.20512820512820512,0.05055292259083728,0.8798,-71180.0,0.0
0.68,0.028517110266159697,0.19230769230769232,0.04966887417218543,0.8852,-71720.0,0.0
0.6900000000000001,0.028513238289205704,0.1794871794871795,0.0492091388400703,0.8918,-72140.0,0.0
0.7000000000000001,0.028602860286028604,0.16666666666666666,0.048826291079812206,0.8987,-72530.0,0.0
0.71,0.03033980582524272,0.16025641025641027,0.05102040816326531,0.907,-72240.0,0.0
0.72,0.02774108322324967,0.1346153846153846,0.04600219058050383,0.9129,-73810.0,0.0
0.73,0.02702702702702703,0.12179487179487179,0.04423748544819558,0.9179,-74390.0,0.0
0.74,0.028875379939209727,0.12179487179487179,0.04668304668304668,0.9224,-73940.0,0.0
0.75,0.028052805280528052,0.10897435897435898,0.04461942257217848,0.9272,-74540.0,0.0
0.76,0.02877697841726619,0.10256410256410256,0.0449438202247191,0.932,-74600.0,0.0
0.77,0.03180914512922465,0.10256410256410256,0.048558421851289835,0.9373,-74070.0,0.0
0.78,0.032397408207343416,0.09615384615384616,0.048465266558966075,0.9411,-74230.0,0.0
0.79,0.03271028037383177,0.08974358974358974,0.04794520547945205,0.9444,-74440.0,0.0
0.8,0.03324808184143223,0.08333333333333333,0.04753199268738574,0.9479,-74630.0,0.0
0.81,0.03571428571428571,0.08333333333333333,0.05,0.9506,-74360.0,0.0
0.8200000000000001,0.03293413173652695,0.07051282051282051,0.044897959183673466,0.9532,-75180.0,0.0
0.8300000000000001,0.030201342281879196,0.057692307692307696,0.039647577092511016,0.9564,-75940.0,0.0
0.84,0.031746031746031744,0.05128205128205128,0.0392156862745098,0.9608,-76040.0,0.0
0.85,0.026905829596412557,0.038461538461538464,0.0316622691292876,0.9633,-76870.0,0.0
0.86,0.02577319587628866,0.03205128205128205,0.02857142857142857,0.966,-77140.0,0.0
0.87,0.027624309392265192,0.03205128205128205,0.02967359050445104,0.9673,-77010.0,0.0
0.88,0.023529411764705882,0.02564102564102564,0.024539877300613498,0.9682,-77460.0,0.0
0.89,0.007042253521126761,0.00641025641025641,0.006711409395973154,0.9704,-78860.0,0.0
0.9,0.009259259259259259,0.00641025641025641,0.007575757575757576,0.9738,-78520.0,0.0
0.91,0.010752688172043012,0.00641025641025641,0.008032128514056224,0.9753,-78370.0,0.0
0.92,0.015873015873015872,0.00641025641025641,0.0091324200913242,0.9783,-78070.0,0.0
0.93,0.0,0.0,0.0,0.9796,-78480.0,0.0
0.9400000000000001,0.0,0.0,0.0,0.98,-78440.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.9815,-78290.0,0.0
0.96,0.0,0.0,0.0,0.9827,-78170.0,0.0
0.97,0.0,0.0,0.0,0.9843,-78010.0,0.0
0.98,0.0,0.0,0.0,0.9843,-78010.0,0.0
0.99,0.0,0.0,0.0,0.9844,-78000.0,0.0
1.0,0.0,0.0,0.0,0.9844,-78000.0,0.0
